semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
95.60125,95.60125,1722.0614,57.56721,31.156052,95.742805,24.905102,24.905102
108.899284,108.899284,1765.4393,57.514217,28.383636,87.09408,23.186493,23.186495
100.7728,100.7728,1853.6746,57.799103,28.93506,88.30117,21.47349,21.473488
112.2986,112.2986,1893.4652,58.54832,27.260468,107.83617,80.80793,80.80793
103.93548,103.93547,1775.4542,58.404858,26.755445,109.82678,82.20349,82.20349
103.238686,103.23869,1402.7019,58.510124,27.551403,109.37614,75.56804,75.56804
101.665085,101.665085,1773.1385,58.718838,26.403864,106.490974,81.04853,81.04852
200.43346,200.43346,3874.3755,63.375057,35.559692,93.18025,25.701796,25.701797
202.33894,202.33894,4186.074,63.721226,35.37809,94.8817,28.854113,28.854113
153.10104,153.10104,3347.4163,62.046173,36.649075,94.73592,26.255457,26.255457
158.14934,158.14934,4340.0317,62.38728,36.09912,93.885124,29.911505,29.911507
179.91704,179.91704,3426.2021,61.257473,37.087368,95.50071,26.409084,26.409082
166.40758,166.40758,3713.092,61.672653,36.61364,93.13658,28.88609,28.886087
182.32579,182.32579,3017.3086,61.437744,36.24784,94.26692,33.123665,33.123665
163.78317,163.78317,3999.52,61.264603,36.578823,93.81536,34.416935,34.41694
149.10619,149.10619,3604.7024,61.287563,35.248287,100.531525,19.27831,19.278313
128.76744,128.76744,1837.5878,61.01398,35.006653,97.53237,19.296503,19.296501
140.38501,140.38501,2132.6865,61.25898,33.972313,98.70371,22.14493,22.14493
127.4404,127.4404,1916.7717,61.037136,34.0729,94.7891,22.690136,22.690132
148.23053,148.23053,4587.912,57.882008,32.479446,97.55234,101.934395,101.934395
134.58844,134.58844,3933.0564,57.269524,32.820034,97.40092,107.17475,107.17475
146.7577,146.7577,3760.7566,57.308823,33.845337,99.2634,128.44397,128.44397
144.49312,144.49312,3666.6296,56.80452,33.32071,99.943954,110.15453,110.15454
113.77928,113.77928,1504.4548,63.882473,36.868584,106.91722,31.459562,31.459562
100.3681,100.3681,1479.1473,62.301937,37.595966,99.85976,30.623083,30.62308
100.731445,100.731445,1542.4077,63.23458,36.83086,102.72291,33.02607,33.026073
108.06884,108.06884,1751.747,63.338882,37.264378,102.8426,34.298553,34.298553
130.28151,130.28151,2890.2358,62.170204,36.33305,106.68554,28.323875,28.323877
117.37379,117.3738,2158.6487,62.013042,36.68879,104.74149,28.156944,28.156942
123.52697,123.52697,2315.781,61.99026,36.634174,104.412926,28.724884,28.724884
117.10954,117.109535,1869.5359,62.024292,36.988438,103.5819,31.64967,31.649668
99.53711,99.53711,1433.2749,,,,40.831165,40.831165
108.16726,108.16726,2145.8645,57.600266,34.77167,102.1349,46.35397,46.353962
114.4998,114.4998,2846.5986,57.622353,35.387165,103.68677,43.32382,43.32382
107.50085,107.50085,2633.8892,57.713165,35.12495,103.71766,42.79621,42.796207
128.0898,128.0898,2565.2048,58.858246,31.724255,115.72068,71.34423,71.34422
109.73539,109.73539,2169.915,58.305153,31.26986,116.38597,61.849155,61.849155
101.27852,101.27852,1786.2323,58.47466,31.959736,115.92501,60.2592,60.2592
90.88586,90.88585,1840.4961,58.10408,31.124952,114.4463,56.973404,56.973408
131.76086,131.76086,2385.7463,65.11119,38.138607,112.260216,18.216434,18.216436
144.72221,144.7222,2325.6177,65.49999,38.161186,114.59053,18.21796,18.21796
139.1223,139.1223,2545.9417,65.666885,37.76932,115.68415,17.988533,17.988535
126.65899,126.65899,2257.847,65.165085,38.54395,115.2314,21.0767,21.076698
155.96904,155.96904,3007.4314,63.57406,37.16708,107.6264,17.721722,17.721722
148.8854,148.8854,2900.8872,64.04032,37.882496,114.666985,16.394884,16.394882
144.87903,144.87903,2975.7114,64.767715,37.914978,116.418755,17.77688,17.776878
149.84845,149.84846,2621.79,64.544876,38.00067,117.576294,17.195925,17.195925
67.92259,67.92259,1908.7131,56.836365,35.25515,110.535965,16.738995,16.738995
74.82686,74.82686,2172.768,56.826996,34.602753,109.19892,17.306082,17.306084
72.98466,72.984665,1467.0695,56.919487,33.424423,105.51204,17.945576,17.945576
87.50158,87.50158,1756.9907,57.070984,33.757412,110.85125,18.17196,18.171963
74.69917,74.699165,901.69135,57.943233,33.578648,121.8495,57.141132,57.14113
77.88268,77.88268,1248.4958,57.233044,33.54544,122.403725,58.582645,58.582645
70.23562,70.23562,1059.7903,57.392986,34.306732,123.58944,63.85039,63.850395
71.23665,71.23664,1281.1492,57.045216,34.079693,123.52926,55.941833,55.941833
188.13359,188.13359,3845.2935,62.703667,37.613937,97.7231,23.196257,23.196257
216.50824,216.50824,5049.282,63.10217,38.0976,97.93326,21.73173,21.73173
145.75111,145.75111,2769.4578,62.790627,37.795616,97.23452,23.697422,23.697424
190.91507,190.91507,3740.48,63.606247,37.196964,97.406044,20.38945,20.38945
302.871,302.87097,5304.509,62.8217,34.350838,88.23109,15.909543,15.909546
352.35712,352.35712,6052.8213,63.298397,34.250256,90.19422,20.02525,20.02525
348.83755,348.83755,5711.265,63.72082,34.219547,91.01116,20.974266,20.974266
311.5477,311.5477,4933.2666,63.239822,35.202,92.42995,16.979721,16.979721
179.175,179.175,4630.6743,57.672874,36.79371,107.16292,17.958265,17.958261
225.51457,225.51456,5058.489,58.188736,36.13871,106.57319,18.09859,18.09859
222.17628,222.17628,5610.2407,58.262527,35.464695,104.69795,20.642061,20.642065
192.46808,192.46808,3878.6885,58.2327,36.05143,104.716705,19.90522,19.905222
166.51234,166.51234,4549.4854,58.624645,35.12051,124.43881,63.431793,63.43179
154.2676,154.2676,3065.1836,58.919872,34.28046,120.98067,65.540886,65.540886
165.54427,165.54425,4778.334,58.69552,35.201897,127.841736,74.18243,74.18242
128.07245,128.07243,2862.6692,59.18999,35.86394,123.32008,66.30481,66.30481
142.9103,142.9103,2610.7776,61.155605,37.10707,113.0238,26.642544,26.642542
161.27538,161.27536,3099.286,61.380558,36.33695,115.39203,31.476643,31.47664
157.69511,157.69511,3617.4019,61.198795,37.22908,114.516884,23.722174,23.72217
174.17256,174.17256,4137.5186,61.02966,36.619442,112.77402,27.357443,27.35744
184.62788,184.62788,3724.2842,,,,25.696325,25.696327
169.52444,169.52444,3316.0745,58.03696,35.347946,112.879906,26.171524,26.171524
159.17038,159.17038,3163.292,58.787624,35.655365,113.78331,27.621815,27.62181
154.05048,154.05048,3212.4158,59.18885,35.609127,113.90492,33.535202,33.535206
135.25385,135.25386,2308.229,,,,17.878916,17.878916
149.25146,149.25145,3355.0107,55.551357,30.426243,104.90075,20.807547,20.807547
173.55154,173.55154,3449.56,55.41358,30.13787,109.95493,19.823292,19.82329
118.9552,118.9552,2267.4648,55.504147,30.11359,101.67938,19.569662,19.569662
125.426445,125.426445,3311.6772,54.61249,28.679247,117.39968,83.97259,83.97258
113.00172,113.00172,2258.407,54.85569,28.465601,120.73594,71.694374,71.694374
110.23121,110.23121,1831.924,54.734543,27.56957,117.928474,60.756172,60.756172
125.66573,125.665726,3729.3816,54.555588,27.894121,123.5125,69.85423,69.854225
117.89404,117.89404,2133.3555,68.14369,39.495358,104.23266,32.476856,32.476856
112.05804,112.058044,1770.4685,68.35766,40.7906,106.67135,34.97499,34.97499
105.02596,105.02596,1435.9741,67.38487,39.02054,103.361855,32.293903,32.293907
113.68591,113.68591,2035.4802,67.47131,39.879955,104.52269,35.684505,35.684505
112.817505,112.817505,1511.1841,66.86566,36.80143,100.20525,31.686197,31.686197
110.60599,110.60599,1191.9883,67.02063,37.57656,100.0254,30.612019,30.612019
119.34087,119.34087,1512.9525,67.44826,37.84398,103.6239,32.625183,32.625175
110.86843,110.86843,1446.1533,67.22459,39.140667,105.918724,34.44289,34.44289
105.04591,105.04591,1448.2802,63.56807,34.056614,88.74622,24.86606,24.866058
109.74785,109.74785,1807.5011,63.923767,34.246246,91.7807,26.490326,26.490328
98.63224,98.63224,1821.4578,64.206345,33.63613,88.52601,26.885399,26.885399
107.348915,107.348915,1537.6855,64.4155,33.848045,89.243996,32.226303,32.226303
90.49298,90.49298,2003.8569,62.910244,31.825878,107.71943,87.61984,87.61984
81.15995,81.15996,1352.715,62.428936,32.27874,113.215324,95.4718,95.4718
87.10135,87.10135,1318.7354,62.15006,31.93405,113.47983,93.057884,93.057884
81.6125,81.6125,1673.5935,61.944443,32.35093,114.69348,78.07768,78.07768
119.65876,119.65876,2486.5623,58.0212,42.18799,113.45898,55.887352,55.887352
103.3101,103.3101,1567.9067,58.077763,42.290516,115.7944,47.695953,47.695953
104.32727,104.32727,1866.4138,57.87932,42.12152,112.22661,43.49947,43.49947
104.875885,104.87589,2113.2424,57.856396,42.130398,109.334915,58.127403,58.1274
143.51997,143.51999,2832.2427,,,,42.16205,42.162045
118.16676,118.16676,2450.2444,,,,55.377193,55.377193
117.47806,117.47806,2271.865,57.86801,41.889835,116.96751,49.04743,49.047424
111.868614,111.868614,2331.6064,,,,54.024582,54.024582
85.03953,85.03953,1068.0464,53.040154,40.710934,110.94142,24.314987,24.314987
90.88398,90.88398,2160.7314,53.346878,40.19688,112.089836,27.97763,27.977629
