semg_rms,semg_std,semg_p25,semg_p75,semg_p95,angle_mean,angle_std,angle_range,angle_p25,angle_p75,angle_p95,amg_rms,amg_std,amg_p95
152.57904,152.57904,-31.420513,29.904783,201.59142,57.44077,30.480669,90.39072,18.124603,85.628105,95.617325,32.5271,32.527096,44.20154
197.81277,197.81277,-28.741941,29.13002,234.79321,57.78853,32.748013,93.391975,14.71648,89.28862,96.33675,30.961044,30.96105,40.134823
212.34436,212.34436,-31.757019,29.992058,265.8639,58.550472,32.75217,92.246895,15.590081,89.703064,97.04822,29.774647,29.774645,38.77737
188.15843,188.15843,-28.88529,24.20052,247.61374,58.98689,32.870102,95.05235,15.571271,90.82709,97.1742,30.74467,30.74467,41.976456
174.27406,174.27406,-30.982212,30.324314,219.40463,58.9709,32.976814,91.28154,15.460491,90.924576,95.97886,28.77173,28.77173,37.709507
152.22586,152.22586,-26.024773,23.57383,173.9981,0.0,0.0,0.0,0.0,0.0,0.0,29.895473,29.895473,45.33547
131.24823,131.24823,-28.23771,25.884022,162.28137,51.070675,27.448118,89.63119,23.221352,66.26815,100.8289,29.430193,29.430191,43.36579
130.22537,130.22537,-27.12356,26.243164,156.17471,51.316242,27.350029,92.760956,23.234148,66.109856,103.48907,29.319105,29.319107,43.253517
138.88799,138.88799,-25.217995,22.663637,162.12213,51.13053,26.920105,89.30658,25.204021,65.13699,100.88944,32.236057,32.23606,48.3524
111.68836,111.68836,-34.16554,33.007935,153.82246,52.25798,27.175552,104.8367,18.413685,75.834335,83.05899,102.04966,102.04966,146.18909
112.983604,112.9836,-39.979527,40.041466,164.55257,52.080784,27.223656,101.024124,18.747192,74.97272,83.02917,108.569885,108.56989,158.1252
119.67537,119.67536,-39.08103,37.476868,175.12709,52.207726,27.023315,101.943146,18.258978,75.42021,83.38396,107.21853,107.21853,147.15268
113.431854,113.431854,-45.71105,45.367714,173.55356,52.238064,26.683916,98.62987,19.223513,74.37137,84.803085,106.95436,106.95437,149.35481
96.38524,96.38524,-21.159563,21.466097,108.41418,57.6404,35.996693,90.77901,14.426444,95.4649,96.441956,22.017609,22.017609,28.22181
94.65005,94.65003,-22.929525,23.77076,109.89242,57.381077,36.078186,90.31958,14.318827,95.55719,96.29489,19.317877,19.317875,28.730064
98.55578,98.55578,-22.433561,22.69035,120.60782,57.77616,35.452114,91.84257,14.398796,95.3687,96.41858,25.648426,25.648428,26.7523
90.39275,90.39276,-20.89487,20.481731,108.614105,57.268845,35.898754,90.42078,13.545589,95.19884,96.53654,26.557898,26.557898,27.23576
92.481064,92.48106,-24.330032,23.001001,110.32124,57.9833,35.41485,91.25404,16.0651,93.89734,96.42537,17.399738,17.399738,25.823061
92.32303,92.32303,-20.59619,21.28423,102.08132,57.484608,35.817154,92.631165,15.371569,94.596214,96.05221,19.117603,19.117607,27.575417
97.35093,97.35093,-20.852737,21.342161,108.18112,57.51457,36.31594,90.77756,14.370037,95.461,96.64835,22.521458,22.521458,31.42944
88.84043,88.84043,-26.092468,24.0825,104.25572,57.24423,36.16674,88.33801,14.696951,95.05637,96.09155,19.041227,19.041225,26.056967
84.77855,84.77855,-24.672024,24.47257,98.61678,55.356422,28.427494,87.37043,27.034847,69.33179,103.90089,17.061592,17.061592,24.997206
90.57127,90.57127,-25.238008,24.980349,109.18924,54.982998,29.835003,93.6565,25.980467,70.85762,105.90787,18.912155,18.912155,29.090433
95.56534,95.56534,-28.820055,28.096363,118.42335,54.883606,25.766022,79.33179,29.076408,67.87083,101.08247,17.41182,17.411816,26.282227
84.04912,84.04912,-25.950449,26.005627,107.01655,54.13966,30.326384,90.54329,21.656597,75.56561,103.60498,18.998816,18.998814,27.325504
83.383835,83.38383,-21.700146,21.986618,98.61843,56.321632,30.456718,102.8312,22.979279,85.76189,91.96016,71.48924,71.489235,90.63135
87.35086,87.35086,-22.593584,23.1564,103.50564,56.299248,30.419847,102.03815,22.377672,84.82016,94.35621,65.589874,65.58987,92.179016
86.783844,86.783844,-25.350557,24.667278,109.2837,56.296314,29.907093,102.092316,23.253454,84.3267,90.217125,67.50044,67.50045,90.20166
88.71862,88.71861,-24.90285,24.614923,111.825424,56.372437,28.947899,102.26869,24.091772,83.96807,89.53822,65.18931,65.18931,87.85341
107.69697,107.69697,-30.943853,31.727974,162.11638,62.321747,32.823154,96.66229,20.048557,93.1718,97.04322,27.962605,27.962606,31.598778
109.697464,109.697464,-31.068201,32.455963,161.15007,62.514744,33.51506,96.76417,17.617628,94.74978,97.78851,27.10502,27.10502,32.45908
101.94177,101.94177,-31.669106,30.6912,147.47925,62.526863,33.509274,98.312065,18.316025,94.29872,98.68581,26.253107,26.253107,31.052073
104.74803,104.74803,-30.323553,31.678034,157.75195,62.12866,33.749252,96.10933,17.634027,94.7016,98.23898,32.856297,32.8563,32.12945
122.89192,122.89192,-35.49225,37.5664,191.32228,63.80959,33.26411,102.18586,30.478416,95.05897,102.251144,18.305996,18.305998,23.975521
132.3326,132.3326,-31.778873,36.294537,198.62337,63.903954,33.789623,104.22522,27.778374,95.418686,103.33647,21.57365,21.57365,26.68681
128.79341,128.79341,-37.206135,39.748905,192.70493,63.592896,34.55603,105.72737,21.632143,96.217255,104.68571,22.341055,22.341051,28.818233
120.35729,120.3573,-29.160732,30.671335,170.36131,62.88756,34.861263,103.53053,16.538536,95.88026,102.666725,21.336536,21.33654,26.236431
108.07978,108.07978,-26.23345,26.019497,154.1278,51.97814,30.996973,100.45514,19.707767,68.32986,110.53925,14.708607,14.708607,20.468153
102.0898,102.0898,-25.039959,25.748072,143.18837,52.155075,32.078213,101.34122,18.165869,68.5573,111.92983,17.137665,17.137665,21.97986
101.33792,101.33792,-23.700867,24.604471,139.3389,52.45203,33.21276,102.364716,17.304392,68.87093,114.06207,17.36873,17.36873,23.798815
93.60318,93.60317,-23.206902,21.700653,121.02885,52.410362,34.69499,103.539406,15.447489,68.3683,114.71692,20.891876,20.891876,23.334726
110.87814,110.87814,-32.26097,33.151035,143.12099,54.059284,29.416298,105.40205,20.349976,81.26847,87.610146,58.97481,58.974808,80.263275
103.108376,103.108376,-33.34065,33.451004,130.37923,53.921852,28.924252,104.30835,20.5804,80.88748,86.58681,61.688328,61.688324,85.47019
101.53613,101.53613,-33.02229,32.958416,133.6203,53.89937,29.546509,101.89043,19.177414,82.10834,86.79599,60.936592,60.936596,88.63267
103.16086,103.16086,-32.222824,33.187443,134.04366,53.69645,29.451635,104.49991,18.959724,81.254425,87.388916,74.322426,74.32243,94.704025
58.89357,58.89357,-17.608765,16.181658,75.49841,64.59484,37.845886,92.75919,17.839725,101.11866,106.805466,25.93072,25.93072,38.261803
54.309364,54.309364,-17.373806,15.454908,70.517395,64.36783,37.797707,95.15791,18.23684,100.19099,107.87223,28.635553,28.635555,37.289726
50.469036,50.469036,-19.447699,17.20739,71.320724,64.40907,37.584084,93.69964,18.14957,101.03262,107.666855,26.247692,26.247694,36.274666
55.685448,55.685448,-20.275639,18.893726,77.57391,64.55711,38.43393,95.319885,18.360807,101.73303,108.799225,27.83874,27.83874,40.00273
92.45897,92.45897,-18.08312,16.46006,87.08691,63.267056,37.29471,99.25861,18.387714,98.147606,104.26042,32.508636,32.508636,43.454525
74.545265,74.545265,-18.24713,16.317183,81.90002,63.17903,36.847534,95.98536,18.20948,97.144684,103.7316,30.087572,30.087572,41.69581
